Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
CD248	7,6E-91	-------	3,1E-72	+++++++	1,7E-77	-------	cg06419846	-12,9	1,4E-38	302	30
LRRN3	2,5E-94	-------	2,8E-34	+++++++	5,4E-185	-------	cg09837977	-11,3	1,1E-29	19	8
NELL2	3,2E-31	+------	2,5E-34	------+	6,2E-08	++++-++	cg04935792	-5,0	3,7E-07	54	10
LEF1	6,3E-50	-------	4,5E-71	+++++++	5,2E-53	-------	cg03719693	-11,6	1,6E-31	72	24
CCR7	1,8E-36	-------	2,0E-44	+++++++	2,3E-155	-------	cg18960324	-12,4	1,9E-35	178	43
ABLIM1	3,5E-50	-------	1,3E-54	+++++++	1,7E-130	-------	cg12649038	-13,1	1,5E-39	109	23
GZMH	1,2E-16	+++++-+	3,8E-28	-------	3,1E-155	-------	cg21003878	10,2	1,5E-24	73	25
MYC	3,0E-35	+------	2,1E-21	+++++++	8,7E-108	-------	cg23896695	-8,7	1,4E-18	86	18
CD27	1,5E-38	+------	8,7E-89	-------	1,1E-98	+++++++	cg02519286	-14,5	6,0E-48	261	44
FAM102A	1,3E-37	-------	2,1E-48	+++++++	4,6E-232	-------	cg14522718	-13,3	7,3E-41	184	34
SERPINE2	2,5E-30	---?---	1,6E-35	+++?+++	1,2E-19	---?---	cg18681853	-7,3	1,2E-13	72	8
SLC16A10	3,2E-28	-------	1,2E-33	-------	1,7E-10	+++++++	cg05449607	-5,7	8,1E-09	66	4
FCGBP	4,2E-30	-------	8,1E-31	-------	3,9E-10	-++++++	cg22031522	-5,5	1,9E-08	97	4
GPR56	7,7E-13	+++++-+	1,4E-25	-------	8,9E-82	-------	cg04273148	9,2	2,2E-20	170	28
BACH2	2,6E-17	----?--	2,6E-11	++++?++	2,6E-38	----?--	cg19039673	-5,9	1,5E-09	89	13
SYT11	9,3E-26	+++++++	1,7E-71	-------	1,0E-33	-----+-	cg14204586	10,0	6,0E-24	166	17
PDE9A	2,2E-26	-------	6,5E-26	-------	1,2E-30	+++++++	cg00118229	-7,8	4,0E-15	112	20
NOG	3,6E-13	-------	1,8E-25	-------	5,2E-59	+++++++	cg15601264	-8,8	9,0E-19	56	7
FLNB	1,2E-26	-------	1,5E-31	-------	4,4E-26	+++++++	cg01361263	-7,8	2,3E-15	98	13
NT5E	1,5E-15	-------	2,8E-20	+++++++	8,7E-16	-------	cg27039625	-6,1	6,6E-10	59	5
FGFBP2	1,2E-15	+++++-+	3,7E-45	+++++++	9,5E-46	+++++++	cg10630155	10,0	7,2E-24	45	14
TGFBR3	2,5E-11	+++++-+	3,1E-31	++++++-	9,3E-42	+++++++	cg23113350	8,8	5,8E-19	108	13
ITM2C	5,2E-30	-------	9,8E-31	+++++++	3,7E-07	+------	cg05940122	-4,7	1,7E-06	104	2
ATF7IP2	8,8E-15	-------	1,3E-09	+------	5,8E-03	++++++-	cg10218733	-2,5	6,0E-03	75	0
CR2	1,0E-29	-------	2,6E-10	-----+-	2,8E-05	+-++++-	cg22687766	-3,5	2,4E-04	47	1
FAIM3	4,8E-33	-------	5,8E-27	+++++++	1,8E-112	-------	cg17100176	-9,7	1,4E-22	117	26
PHGDH	1,7E-34	-------	3,4E-28	-------	9,1E-17	++++++-	cg15513620	-6,6	1,6E-11	75	13
LDHB	3,1E-23	-------	7,8E-39	-------	6,6E-16	++--+++	cg20759281	-6,9	3,3E-12	75	1
SIRPG	1,6E-23	-------	1,3E-31	-------	1,7E-60	+++++++	cg00637104	-9,5	8,2E-22	54	10
FCRL6	7,6E-05	+++++-+	5,0E-34	-------	3,4E-74	-------	cg22441157	10,1	2,4E-24	114	37
PDE7A	1,3E-22	-------	1,4E-23	+++++++	1,3E-46	-------	cg06222774	-8,2	1,1E-16	49	5
NOSIP	9,8E-24	-------	3,6E-26	+++++++	2,8E-145	-------	cg05262463	-9,8	6,7E-23	341	25
PAICS	2,0E-30	-------	8,9E-47	-------	2,1E-47	+++++++	cg25948037	-10,2	1,1E-24	89	8
BZW2	5,4E-23	-------	1,7E-32	+++++++	1,2E-21	-------	cg03976645	-7,5	4,8E-14	100	3
OXNAD1	2,7E-15	-------	3,8E-74	-------	1,3E-71	+++++++	cg04381957	-12,8	1,3E-37	73	22
CX3CR1	1,2E-09	+++?+++	1,2E-46	---?---	4,3E-34	---?---	cg02243386	9,3	8,4E-21	122	20
SCML1	7,3E-08	-?----+	1,1E-07	-?+----	4,4E-04	+?++-++	cg20154346	-2,9	1,7E-03	42	0
RPL22	1,6E-26	-------	1,0E-39	+------	2,7E-34	-++++++	cg12396368	-9,0	1,6E-19	337	20
LDLRAP1	2,3E-15	-------	1,8E-54	-------	9,5E-17	+++++++	cg11214576	-7,3	1,2E-13	112	22
RHOC	2,0E-17	+++++++	2,0E-11	-------	4,7E-56	-------	cg00719568	6,2	3,4E-10	133	10
LTB	8,5E-26	+----+-	7,2E-155	-------	1,4E-51	+++++++	cg20543183	-13,1	1,1E-39	1060	85
FAM134B	4,8E-19	-------	7,9E-30	+++++++	1,8E-56	-------	cg00461022	-9,2	1,5E-20	68	15
LBH	1,9E-28	-------	5,5E-156	-------	2,1E-52	-++++++	ch.2.30415474F	-13,2	3,3E-40	70	10
PRSS23	1,3E-06	+++++-+	4,0E-34	-------	2,3E-36	-------	cg27149179	8,8	1,0E-18	78	11
SUSD3	2,9E-19	---?---	4,0E-12	+--?---	1,9E-52	+++?++-	cg13819552	-6,3	1,4E-10	76	9
PIK3IP1	1,4E-21	-------	2,4E-29	+++++++	2,3E-261	-------	cg07713946	-10,7	5,4E-27	135	12
MFGE8	1,2E-23	-------	4,1E-15	--+----	4,5E-30	+++++++	cg27059228	-6,5	5,0E-11	96	9
AGMAT	7,8E-22	-----?-	3,5E-35	-----?-	8,7E-91	+++++?+	cg25978218	-10,6	2,4E-26	159	13
NKG7	4,1E-10	+++++++	7,6E-63	-------	1,8E-96	-------	cg24724596	13,1	3,3E-39	125	35
PPP2R2B	2,0E-13	+++++++	6,3E-54	+++++++	2,1E-140	+++++++	cg09088988	13,2	5,6E-40	107	33
GZMB	1,4E-06	+++++++	3,8E-28	-------	9,3E-26	-------	cg21003878	7,6	1,6E-14	52	12
SLC7A6	1,3E-22	-------	8,9E-18	-------	5,5E-31	++++++-	cg04304036	-6,9	2,7E-12	158	12
TTC38	1,7E-12	+++++-+	4,2E-102	+++++++	2,3E-33	+++++++	cg06268694	10,5	4,5E-26	216	24
IMPDH2	2,4E-29	-------	6,0E-80	-------	3,5E-118	+++++++	cg23732483	-14,7	7,1E-49	227	17
